11:34:44.698
Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-21 11:34:48.221,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.06,-0.021,-1.022
2025-07-21 11:34:48.271,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.09,-0.059,-0.966
2025-07-21 11:34:48.322,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.071,0.013,-1.058
2025-07-21 11:34:48.372,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.01,-0.043,-1.01
2025-07-21 11:34:48.423,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.127,0.039,-1.006
2025-07-21 11:34:48.478,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.063,0.069,-1.012
2025-07-21 11:34:48.532,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.085,-0.007,-0.991
2025-07-21 11:34:48.583,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.061,0.02,-0.981
2025-07-21 11:34:48.633,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.041,0.023,-0.978
2025-07-21 11:34:48.686,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.029,0.024,-1.035
